LAT;LONG;ALT
-36,829646;149,699859;228
-36,829638;149,700241;228
-36,829629;149,700624;240
-36,829620;149,701007;240
-36,829612;149,701389;255
-36,829603;149,701772;255
-36,829594;149,702155;255
-36,829585;149,702538;247
-36,829577;149,702920;247
-36,829568;149,703303;236
-36,829559;149,703686;236
-36,829551;149,704068;233
-36,829542;149,704451;233
-36,829533;149,704834;229
-36,829525;149,705217;229
-36,829516;149,705599;232
-36,829507;149,705982;232
-36,829498;149,706365;234
-36,829490;149,706748;234
-36,829481;149,707130;234
-36,829472;149,707513;239
-36,829464;149,707896;239
-36,829455;149,708278;245
-36,829446;149,708661;245
-36,829437;149,709044;254
-36,829429;149,709427;254
-36,829420;149,709809;257
-36,829411;149,710192;257
-36,829402;149,710575;258
-36,829394;149,710957;258
-36,829385;149,711340;258
-36,829376;149,711723;252
-36,829367;149,712106;252
-36,829359;149,712488;265
-36,829350;149,712871;265
-36,829341;149,713254;269
-36,829333;149,713637;269
-36,829324;149,714019;254
-36,829315;149,714402;254
-36,829306;149,714785;231
-36,829298;149,715167;231
-36,829289;149,715550;233
-36,829280;149,715933;233
-36,829271;149,716316;237
-36,829263;149,716698;237
-36,829254;149,717081;237
-36,829245;149,717464;234
-36,829236;149,717846;234
-36,829228;149,718229;235
-36,829219;149,718612;235
-36,830162;149,690684;249
-36,830154;149,691067;249
-36,830145;149,691449;233
-36,830136;149,691832;233
-36,830128;149,692215;221
-36,830119;149,692598;221
-36,830110;149,692980;221
-36,830102;149,693363;213
-36,830093;149,693746;213
-36,830084;149,694128;204
-36,830076;149,694511;204
-36,830067;149,694894;210
-36,830058;149,695277;210
-36,830050;149,695659;217
-36,830032;149,696425;222
-36,830024;149,696808;222
-36,830015;149,697190;230
-36,830006;149,697573;230
-36,829998;149,697956;232
-36,829989;149,698338;232
-36,829980;149,698721;232
-36,829971;149,699104;225
-36,829963;149,699487;225
-36,829954;149,699869;228
-36,829945;149,700252;228
-36,829937;149,700635;240
-36,829928;149,701018;240
-36,829919;149,701400;255
-36,829911;149,701783;255
-36,829902;149,702166;245
-36,829893;149,702548;247
-36,829884;149,702931;247
-36,829876;149,703314;236
-36,829867;149,703697;236
-36,829858;149,704079;233
-36,829850;149,704462;233
-36,829841;149,704845;239
-36,829832;149,705227;239
-36,829823;149,705610;245
-36,829815;149,705993;245
-36,829806;149,706376;245
-36,829797;149,706758;245
-36,829789;149,707141;242
-36,829780;149,707524;242
-36,829771;149,707907;242
-36,829762;149,708289;244
-36,829754;149,708672;244
-36,829745;149,709055;246
-36,829736;149,709437;246
-36,829728;149,709820;255
-36,829719;149,710203;255
-36,829710;149,710586;265
-36,829701;149,710968;265
-36,829693;149,711351;265
-36,829684;149,711734;267
-36,829675;149,712117;267
-36,829666;149,712499;274
-36,829658;149,712882;274
-36,829649;149,713265;284
-36,829640;149,713647;284
-36,829631;149,714030;275
-36,829623;149,714413;275
-36,829614;149,714796;259
-36,829605;149,715178;259
-36,829596;149,715561;254
-36,829588;149,715944;254
-36,829579;149,716326;237
-36,829570;149,716709;237
-36,829561;149,717092;237
-36,829553;149,717475;220
-36,829544;149,717857;220
-36,829535;149,718240;235
-36,829526;149,718623;235
-36,830470;149,690695;254
-36,830461;149,691077;254
-36,830453;149,691460;241
-36,830444;149,691843;241
-36,830435;149,692226;230
-36,830427;149,692608;230
-36,830418;149,692991;230
-36,830409;149,693374;218
-36,830401;149,693756;218
-36,830392;149,694139;205
-36,830383;149,694522;205
-36,830375;149,694905;205
-36,830366;149,695287;205
-36,830357;149,695670;217
-36,830349;149,696053;217
-36,830340;149,696436;222
-36,830331;149,696818;222
-36,830323;149,697201;230
-36,830314;149,697584;230
-36,830305;149,697967;232
-36,830297;149,698349;232
-36,830288;149,698732;232
-36,830279;149,699115;225
-36,830270;149,699497;225
-36,830262;149,699880;228
-36,830253;149,700263;228
-36,830244;149,700646;240
-36,830236;149,701028;240
-36,830227;149,701411;255
-36,830218;149,701794;255
-36,830210;149,702177;255
-36,830201;149,702559;247
-36,830192;149,702942;247
-36,830183;149,703325;236
-36,830175;149,703707;236
-36,830166;149,704090;233
-36,830157;149,704473;233
-36,830149;149,704856;239
-36,830140;149,705238;239
-36,830131;149,705621;245
-36,830122;149,706004;245
-36,830114;149,706387;245
-36,830105;149,706769;245
-36,830096;149,707152;242
-36,830088;149,707535;242
-36,830079;149,707917;242
-36,830070;149,708300;244
-36,830061;149,708683;244
-36,830053;149,709066;246
-36,830044;149,709448;246
-36,830035;149,709831;255
-36,830026;149,710214;255
-36,830018;149,710596;265
-36,830009;149,710979;265
-36,830000;149,711362;265
-36,829992;149,711745;267
-36,829983;149,712127;267
-36,829974;149,712510;274
-36,829965;149,712893;274
-36,829957;149,713276;284
-36,829948;149,713658;284
-36,829939;149,714041;275
-36,829930;149,714424;275
-36,829922;149,714806;259
-36,829913;149,715189;259
-36,829904;149,715572;254
-36,829895;149,715955;254
-36,829887;149,716337;237
-36,829878;149,716720;237
-36,829869;149,717103;237
-36,829860;149,717485;220
-36,829852;149,717868;220
-36,829843;149,718251;220
-36,829834;149,718634;220
-36,830778;149,690705;254
-36,830769;149,691088;254
-36,830760;149,691471;241
-36,830752;149,691854;241
-36,830743;149,692236;230
-36,830734;149,692619;230
-36,830726;149,693002;230
-36,830717;149,693385;218
-36,830708;149,693767;218
-36,830700;149,694150;205
-36,830691;149,694533;205
-36,830674;149,695298;205
-36,830665;149,695681;215
-36,830656;149,696064;215
-36,830648;149,696446;225
-36,830639;149,696829;225
-36,830630;149,697212;231
-36,830622;149,697595;231
-36,830613;149,697977;242
-36,830604;149,698360;242
-36,830595;149,698743;242
-36,830587;149,699126;240
-36,830578;149,699508;240
-36,830569;149,699891;232
-36,830561;149,700274;232
-36,830552;149,700656;235
-36,830543;149,701039;235
-36,830535;149,701422;250
-36,830526;149,701805;250
-36,830517;149,702187;250
-36,830508;149,702570;252
-36,830500;149,702953;252
-36,830491;149,703336;241
-36,830482;149,703718;241
-36,830474;149,704101;233
-36,830465;149,704484;233
-36,830456;149,704866;243
-36,830448;149,705249;243
-36,830439;149,705632;256
-36,830430;149,706015;256
-36,830421;149,706397;256
-36,830413;149,706780;256
-36,830404;149,707163;251
-36,830395;149,707546;251
-36,830386;149,707928;251
-36,830378;149,708311;251
-36,830369;149,708694;251
-36,830360;149,709076;246
-36,830352;149,709459;246
-36,830343;149,709842;255
-36,830334;149,710225;255
-36,830325;149,710607;265
-36,830317;149,710990;265
-36,830308;149,711373;265
-36,830299;149,711756;267
-36,830290;149,712138;267
-36,830282;149,712521;274
-36,830273;149,712904;274
-36,830264;149,713286;284
-36,830256;149,713669;284
-36,830247;149,714052;275
-36,830238;149,714435;275
-36,830229;149,714817;259
-36,830221;149,715200;259
-36,830212;149,715583;254
-36,830203;149,715965;254
-36,830194;149,716348;237
-36,830186;149,716731;237
-36,830177;149,717114;237
-36,830168;149,717496;220
-36,830159;149,717879;220
-36,830151;149,718262;220
-36,830142;149,718645;220
-36,831085;149,690716;254
-36,831077;149,691099;254
-36,831068;149,691482;241
-36,831059;149,691864;241
-36,831051;149,692247;230
-36,831042;149,692630;230
-36,831033;149,693013;230
-36,831025;149,693395;218
-36,831016;149,693778;231
-36,831007;149,694161;205
-36,830999;149,694544;205
-36,830990;149,694926;205
-36,830981;149,695309;205
-36,830973;149,695692;215
-36,830964;149,696074;215
-36,830955;149,696457;225
-36,830947;149,696840;225
-36,830938;149,697223;231
-36,830929;149,697605;231
-36,830921;149,697988;242
-36,830912;149,698371;242
-36,830903;149,698754;242
-36,830894;149,699136;240
-36,830886;149,699519;240
-36,830877;149,699902;232
-36,830868;149,700285;232
-36,830860;149,700667;235
-36,830851;149,701050;235
-36,830842;149,701433;250
-36,830834;149,701815;250
-36,830825;149,702198;250
-36,830816;149,702581;252
