LONG;LAT
149.6925656339;-36.8291965924
149.692948359;-36.8291879185
149.6933310839;-36.8291792433
149.6937138086;-36.8291705669
149.6940965332;-36.8291618893
149.6944792575;-36.8291532105
149.6948619818;-36.8291445304
149.6952447058;-36.8291358491
149.6956274297;-36.8291271665
149.6960101535;-36.8291184828
149.696392877;-36.8291097978
149.6967756005;-36.8291011115
149.6971583237;-36.8290924241
149.6975410468;-36.8290837354
149.6979237697;-36.8290750454
149.6983064925;-36.8290663543
149.698689215;-36.8290576619
149.6990719375;-36.8290489683
149.6994546597;-36.8290402734
149.6998373818;-36.8290315774
149.7002201038;-36.8290228801
149.7006028255;-36.8290141815
149.7009855471;-36.8290054818
149.7013682686;-36.8289967808
149.7017509898;-36.8289880785
149.7021337109;-36.8289793751
149.7025164319;-36.8289706704
149.7028991527;-36.8289619645
149.7032818733;-36.8289532573
149.7036645937;-36.828944549
149.704047314;-36.8289358394
149.7044300342;-36.8289271285
149.7048127541;-36.8289184165
149.7051954739;-36.8289097032
149.7055781935;-36.8289009886
149.705960913;-36.8288922729
149.7063436323;-36.8288835559
149.7067263514;-36.8288748377
149.7071090704;-36.8288661182
149.7074917892;-36.8288573975
149.7078745079;-36.8288486756
149.7082572263;-36.8288399525
149.7086399447;-36.8288312281
149.7090226628;-36.8288225025
149.7094053808;-36.8288137757
149.7097880986;-36.8288050477
149.7101708163;-36.8287963184
149.7105535338;-36.8287875878
149.7109362511;-36.8287788561
149.7113189682;-36.8287701231
149.7117016852;-36.8287613889
149.7120844021;-36.8287526535
149.7124671187;-36.8287439168
149.7128498352;-36.8287351789
149.7132325516;-36.8287264398
149.7136152677;-36.8287176994
149.7139979837;-36.8287089578
149.7143806996;-36.828700215
149.7147634153;-36.828691471
149.7151461308;-36.8286827257
149.7155288461;-36.8286739792
149.7159115613;-36.8286652314
149.7162942763;-36.8286564825
149.7166769912;-36.8286477323
149.7170597058;-36.8286389808
149.7174424204;-36.8286302282
149.7178251347;-36.8286214743
149.7182078489;-36.8286127192
149.7185905629;-36.8286039628
149.690662788;-36.82954761
149.6910455154;-36.8295389421
149.6914282426;-36.829530273
149.6918109697;-36.8295216027
149.6921936966;-36.8295129311
149.6925764233;-36.8295042583
149.6929591499;-36.8294955843
149.6933418763;-36.829486909
149.6937246026;-36.8294782325
149.6941073286;-36.8294695548
